Date/Time,Energy Produced (kWh)
06/01/2023,21.03
06/02/2023,35.27
06/03/2023,37.77
06/04/2023,15.31
06/05/2023,37.04
06/06/2023,31.26
06/07/2023,8.40
06/08/2023,35.60
06/09/2023,37.71
06/10/2023,36.63
06/11/2023,32.76
06/12/2023,24.26
06/13/2023,29.80
06/14/2023,35.52
06/15/2023,27.24
06/16/2023,32.19
06/17/2023,37.62
06/18/2023,36.53
06/19/2023,20.03
06/20/2023,9.59
06/21/2023,11.57
06/22/2023,11.72
06/23/2023,19.67
06/24/2023,24.20
06/25/2023,33.37
06/26/2023,33.83
06/27/2023,33.23
06/28/2023,35.66
06/29/2023,35.70
06/30/2023,25.45
Total,845.92
