Date/Time,Energy Delivered (kWh)
03/06/2023,0.00
03/07/2023,0.00
03/08/2023,0.00
03/09/2023,0.00
03/10/2023,0.00
03/11/2023,0.00
03/12/2023,0.00
03/13/2023,0.00
03/14/2023,0.00
03/15/2023,0.00
03/16/2023,0.00
03/17/2023,5.47
03/18/2023,0.00
03/19/2023,0.00
03/20/2023,0.00
03/21/2023,0.00
03/22/2023,1.58
03/23/2023,26.65
03/24/2023,26.71
03/25/2023,13.46
03/26/2023,7.62
03/27/2023,13.74
03/28/2023,23.47
03/29/2023,23.16
03/30/2023,30.90
03/31/2023,11.32
04/01/2023,13.63
04/02/2023,31.94
04/03/2023,21.55
04/04/2023,30.86
04/05/2023,23.15
04/06/2023,22.09
04/07/2023,1.05
04/08/2023,3.67
04/09/2023,34.12
04/10/2023,34.03
04/11/2023,33.72
04/12/2023,33.48
04/13/2023,31.73
04/14/2023,0.00
04/15/2023,0.00
04/16/2023,0.00
Total,499.10
